status,cod_flight_IATA,week_day,week_num,cod_airliner_IATA,cod_airport_IATA,hour,duration,Condition,Temperature,Wind,day_time,acc_Gusts,acc_bad_weather,Delayed,Delay,Tipo,day
On Time,IB6653,Thursday,49,IB,LIM,2023-12-06 00:20:00,12,Mostly Cloudy,5,1,Early Morning,0,0.0,0,0.0,Tipo 0,2023-12-07
On Time,AV47,Thursday,49,AV,BOG,2023-12-06 00:35:00,10,Mostly Cloudy,5,1,Early Morning,0,0.0,1,40.457166666666666,Tipo 2,2023-12-07
On Time,LA2485,Thursday,49,LA,LIM,2023-12-06 00:55:00,12,Mostly Cloudy,5,1,Early Morning,0,0.0,0,0.0,Tipo 0,2023-12-07
On Time,UX15,Thursday,49,UX,SAP,2023-12-06 01:35:00,12,Cloudy,5,0,Early Morning,0,0.0,1,34.32154761904762,Tipo 2,2023-12-07
On Time,AV301,Thursday,49,AV,SAL,2023-12-06 01:40:00,11,Cloudy,5,0,Early Morning,0,0.0,1,51.75583333333334,Tipo 2,2023-12-07
On Time,UX39,Thursday,49,UX,UIO,2023-12-06 01:45:00,11,Cloudy,5,0,Early Morning,0,0.0,1,31.54488095238095,Tipo 2,2023-12-07
On Time,FR2015,Thursday,49,FR,ACE,2023-12-06 05:45:00,3,Cloudy,4,0,Early Morning,0,0.0,1,37.61333333333333,Tipo 2,2023-12-07
On Time,AZ59,Thursday,49,AZ,FCO,2023-12-06 05:50:00,2,Cloudy,4,0,Early Morning,0,0.0,0,0.0,Tipo 0,2023-12-07
On Time,FR2513,Thursday,49,FR,OTP,2023-12-06 05:55:00,4,Cloudy,4,0,Early Morning,0,0.0,1,40.64333333333333,Tipo 2,2023-12-07
On Time,FR2948,Thursday,49,FR,BRU,2023-12-06 05:55:00,2,Cloudy,4,0,Early Morning,0,0.0,1,33.39,Tipo 2,2023-12-07
On Time,KL1698,Thursday,49,KL,AMS,2023-12-06 06:00:00,3,Cloudy,4,2,Morning,0,0.0,0,0.0,Tipo 0,2023-12-07
On Time,AF1401,Thursday,49,AF,CDG,2023-12-06 06:00:00,2,Cloudy,4,2,Morning,0,0.0,0,0.0,Tipo 0,2023-12-07
Delayed,LH1121,Thursday,49,LH,FRA,2023-12-06 06:10:00,3,Cloudy,4,2,Morning,0,0.0,0,0.0,Tipo 4,2023-12-07
On Time,FR2066,Thursday,49,FR,IBZ,2023-12-06 06:10:00,1,Cloudy,4,2,Morning,0,0.0,0,0.0,Tipo 0,2023-12-07
On Time,FR5444,Thursday,49,FR,BVA,2023-12-06 06:15:00,2,Cloudy,4,2,Morning,0,0.0,0,0.0,Tipo 0,2023-12-07
On Time,SN3732,Thursday,49,SN,BRU,2023-12-06 06:25:00,2,Cloudy,4,2,Morning,0,0.0,0,0.0,Tipo 0,2023-12-07
On Time,UX1159,Thursday,49,UX,LIS,2023-12-06 06:30:00,1,Cloudy,4,2,Morning,0,0.0,0,0.0,Tipo 0,2023-12-07
On Time,UX5035,Thursday,49,UX,AGP,2023-12-06 06:35:00,1,Cloudy,4,2,Morning,0,0.0,0,0.0,Tipo 0,2023-12-07
On Time,UX1147,Thursday,49,UX,OPO,2023-12-06 06:35:00,1,Cloudy,4,2,Morning,0,0.0,0,0.0,Tipo 0,2023-12-07
